sample,GT_change_pixels,GT_change_ratio_percent,available_method_count,best_method_by_F1,primary_method,primary_F1_percent,primary_IoU_percent,primary_Kappa_percent,primary_Error_pixels,primary_rank_by_F1,primary_margin_to_best_F1,primary_margin_to_second_F1,primary_mean_F1_advantage,primary_wins_all_available,recommendation_score,selection_reason,AEGIS-CD_F1_percent,AEGIS-CD_IoU_percent,AEGIS-CD_OA_percent,AEGIS-CD_Kappa_percent,AEGIS-CD_Precision_percent,AEGIS-CD_Recall_percent,AEGIS-CD_Error_pixels,AEGIS-CD_FP,AEGIS-CD_FN,AEGIS-CD_Pred_change_ratio_percent,RS-Mamba_F1_percent,RS-Mamba_IoU_percent,RS-Mamba_OA_percent,RS-Mamba_Kappa_percent,RS-Mamba_Precision_percent,RS-Mamba_Recall_percent,RS-Mamba_Error_pixels,RS-Mamba_FP,RS-Mamba_FN,RS-Mamba_Pred_change_ratio_percent,CDMamba_F1_percent,CDMamba_IoU_percent,CDMamba_OA_percent,CDMamba_Kappa_percent,CDMamba_Precision_percent,CDMamba_Recall_percent,CDMamba_Error_pixels,CDMamba_FP,CDMamba_FN,CDMamba_Pred_change_ratio_percent,ChangeMamba-tiny_F1_percent,ChangeMamba-tiny_IoU_percent,ChangeMamba-tiny_OA_percent,ChangeMamba-tiny_Kappa_percent,ChangeMamba-tiny_Precision_percent,ChangeMamba-tiny_Recall_percent,ChangeMamba-tiny_Error_pixels,ChangeMamba-tiny_FP,ChangeMamba-tiny_FN,ChangeMamba-tiny_Pred_change_ratio_percent,DSIFN_F1_percent,DSIFN_IoU_percent,DSIFN_OA_percent,DSIFN_Kappa_percent,DSIFN_Precision_percent,DSIFN_Recall_percent,DSIFN_Error_pixels,DSIFN_FP,DSIFN_FN,DSIFN_Pred_change_ratio_percent,SNUNet_F1_percent,SNUNet_IoU_percent,SNUNet_OA_percent,SNUNet_Kappa_percent,SNUNet_Precision_percent,SNUNet_Recall_percent,SNUNet_Error_pixels,SNUNet_FP,SNUNet_FN,SNUNet_Pred_change_ratio_percent,Change3D_F1_percent,Change3D_IoU_percent,Change3D_OA_percent,Change3D_Kappa_percent,Change3D_Precision_percent,Change3D_Recall_percent,Change3D_Error_pixels,Change3D_FP,Change3D_FN,Change3D_Pred_change_ratio_percent,BIT_F1_percent,BIT_IoU_percent,BIT_OA_percent,BIT_Kappa_percent,BIT_Precision_percent,BIT_Recall_percent,BIT_Error_pixels,BIT_FP,BIT_FN,BIT_Pred_change_ratio_percent,ELGC-Net_F1_percent,ELGC-Net_IoU_percent,ELGC-Net_OA_percent,ELGC-Net_Kappa_percent,ELGC-Net_Precision_percent,ELGC-Net_Recall_percent,ELGC-Net_Error_pixels,ELGC-Net_FP,ELGC-Net_FN,ELGC-Net_Pred_change_ratio_percent,BiFA_F1_percent,BiFA_IoU_percent,BiFA_OA_percent,BiFA_Kappa_percent,BiFA_Precision_percent,BiFA_Recall_percent,BiFA_Error_pixels,BiFA_FP,BiFA_FN,BiFA_Pred_change_ratio_percent,MaskCD_F1_percent,MaskCD_IoU_percent,MaskCD_OA_percent,MaskCD_Kappa_percent,MaskCD_Precision_percent,MaskCD_Recall_percent,MaskCD_Error_pixels,MaskCD_FP,MaskCD_FN,MaskCD_Pred_change_ratio_percent,ChangeRD_F1_percent,ChangeRD_IoU_percent,ChangeRD_OA_percent,ChangeRD_Kappa_percent,ChangeRD_Precision_percent,ChangeRD_Recall_percent,ChangeRD_Error_pixels,ChangeRD_FP,ChangeRD_FN,ChangeRD_Pred_change_ratio_percent,CAIFNet_F1_percent,CAIFNet_IoU_percent,CAIFNet_OA_percent,CAIFNet_Kappa_percent,CAIFNet_Precision_percent,CAIFNet_Recall_percent,CAIFNet_Error_pixels,CAIFNet_FP,CAIFNet_FN,CAIFNet_Pred_change_ratio_percent,WDMF-Net_F1_percent,WDMF-Net_IoU_percent,WDMF-Net_OA_percent,WDMF-Net_Kappa_percent,WDMF-Net_Precision_percent,WDMF-Net_Recall_percent,WDMF-Net_Error_pixels,WDMF-Net_FP,WDMF-Net_FN,WDMF-Net_Pred_change_ratio_percent,MambaFedCD_F1_percent,MambaFedCD_IoU_percent,MambaFedCD_OA_percent,MambaFedCD_Kappa_percent,MambaFedCD_Precision_percent,MambaFedCD_Recall_percent,MambaFedCD_Error_pixels,MambaFedCD_FP,MambaFedCD_FN,MambaFedCD_Pred_change_ratio_percent
test_116_4.png,325,0.495911,15,AEGIS-CD,AEGIS-CD,94.585987,89.728097,94.559955,34,1,0.0,71.135401,92.867124,True,237.631585,primary_best_F1;clear_margin_ge_2pct;has_change_gt;low_false_alarm_tendency,94.585987,89.728097,99.94812,94.559955,98.019802,91.384615,34,6,28,0.462341,0.0,0.0,99.504089,0.0,0.0,0.0,325,0,325,0.0,0.0,0.0,99.504089,0.0,0.0,0.0,325,0,325,0.0,0.0,0.0,99.504089,0.0,0.0,0.0,325,0,325,0.0,0.0,0.0,99.504089,0.0,0.0,0.0,325,0,325,0.0,0.613497,0.307692,99.505615,0.610473,100.0,0.307692,324,0,324,0.001526,0.0,0.0,99.504089,0.0,0.0,0.0,325,0,325,0.0,0.0,0.0,99.504089,0.0,0.0,0.0,325,0,325,0.0,0.0,0.0,99.504089,0.0,0.0,0.0,325,0,325,0.0,0.0,0.0,99.504089,0.0,0.0,0.0,325,0,325,0.0,23.450586,13.282732,99.302673,23.103101,25.735294,21.538462,457,202,255,0.415039,0.0,0.0,99.504089,0.0,0.0,0.0,325,0,325,0.0,0.0,0.0,99.504089,0.0,0.0,0.0,325,0,325,0.0,0.0,0.0,99.504089,0.0,0.0,0.0,325,0,325,0.0,0.0,0.0,99.504089,0.0,0.0,0.0,325,0,325,0.0
test_76_6.png,148,0.22583,15,AEGIS-CD,AEGIS-CD,93.515358,87.820513,93.500832,19,1,0.0,17.812034,80.768842,True,129.900717,primary_best_F1;clear_margin_ge_2pct;has_change_gt;low_false_alarm_tendency,93.515358,87.820513,99.971008,93.500832,94.482759,92.567568,19,8,11,0.221252,62.962963,45.945946,99.87793,62.910225,100.0,45.945946,80,0,80,0.10376,75.703325,60.90535,99.855042,75.634932,60.90535,100.0,95,95,0,0.370789,0.0,0.0,99.77417,0.0,0.0,0.0,148,0,148,0.0,0.0,0.0,99.77417,0.0,0.0,0.0,148,0,148,0.0,0.0,0.0,99.77417,0.0,0.0,0.0,148,0,148,0.0,0.0,0.0,99.77417,0.0,0.0,0.0,148,0,148,0.0,0.0,0.0,99.77417,0.0,0.0,0.0,148,0,148,0.0,39.784946,24.832215,99.829102,39.729332,97.368421,25.0,112,1,111,0.057983,0.0,0.0,99.77417,0.0,0.0,0.0,148,0,148,0.0,0.0,0.0,99.77417,0.0,0.0,0.0,148,0,148,0.0,0.0,0.0,99.761963,-0.023167,0.0,0.0,156,8,148,0.012207,0.0,0.0,99.77417,0.0,0.0,0.0,148,0,148,0.0,0.0,0.0,99.77417,0.0,0.0,0.0,148,0,148,0.0,0.0,0.0,99.77417,0.0,0.0,0.0,148,0,148,0.0
test_86_2.png,743,1.133728,15,AEGIS-CD,AEGIS-CD,92.563177,86.155914,92.484182,103,1,0.0,11.348149,50.352974,True,116.066161,primary_best_F1;clear_margin_ge_2pct;has_change_gt;low_false_alarm_tendency,92.563177,86.155914,99.842834,92.484182,99.844237,86.271871,103,1,102,0.979614,67.321429,50.740242,99.441528,67.070094,100.0,50.740242,366,0,366,0.575256,76.039933,61.342282,99.560547,75.830661,99.56427,61.507402,288,2,286,0.700378,30.530973,18.015666,99.041748,30.249301,85.714286,18.573351,628,23,605,0.245667,58.879392,41.722746,99.339294,58.603054,100.0,41.722746,433,0,433,0.473022,51.251251,34.454913,99.256897,50.966341,100.0,34.454913,487,0,487,0.390625,0.0,0.0,98.866272,0.0,0.0,0.0,743,0,743,0.0,67.689946,51.160093,99.357605,67.371986,78.75,59.35397,421,119,302,0.854492,32.468997,19.380888,99.085999,32.21949,100.0,19.380888,599,0,599,0.219727,81.215028,68.371467,99.641418,81.040457,100.0,68.371467,235,0,235,0.775146,58.465144,41.307947,98.918152,57.926387,51.763485,67.160162,709,465,244,1.470947,0.0,0.0,98.866272,0.0,0.0,0.0,743,0,743,0.0,67.080745,50.46729,99.353027,66.761844,79.266055,58.142665,424,113,311,0.831604,0.0,0.0,98.866272,0.0,0.0,0.0,743,0,743,0.0,0.0,0.0,98.866272,0.0,0.0,0.0,743,0,743,0.0
test_116_9.png,2239,3.416443,15,AEGIS-CD,AEGIS-CD,89.03623,80.23901,88.672604,463,1,0.0,12.773072,53.812372,True,115.503197,primary_best_F1;clear_margin_ge_2pct;has_change_gt;low_false_alarm_tendency,89.03623,80.23901,99.293518,88.672604,94.758065,83.966056,463,104,359,3.027344,13.02714,6.967396,96.821594,12.638324,100.0,6.967396,2083,0,2083,0.238037,46.944258,30.671347,97.589111,46.029127,94.58728,31.219294,1580,40,1540,1.127625,47.046912,30.759047,97.605896,46.147798,96.270718,31.129969,1569,27,1542,1.104736,0.267618,0.133988,96.588135,0.258499,100.0,0.133988,2236,0,2236,0.004578,9.036658,4.732143,96.743774,8.752289,99.065421,4.734256,2134,1,2133,0.163269,35.83394,21.827862,97.311401,35.014097,97.04142,21.974096,1762,15,1747,0.773621,43.411395,27.723214,97.529602,42.558087,99.839228,27.735596,1619,1,1618,0.949097,33.122441,19.84835,97.257996,32.351767,99.330357,19.874944,1797,3,1794,0.683594,64.348851,47.437011,98.153687,63.500129,94.545455,48.771773,1210,63,1147,1.76239,76.263158,61.633348,98.623657,75.577653,92.825112,64.716391,902,112,790,2.381897,38.746849,24.028584,97.40448,37.925124,100.0,24.028584,1701,0,1701,0.820923,20.471811,11.403118,96.965027,19.898444,97.709924,11.433676,1989,6,1983,0.39978,40.955392,25.750883,97.434998,40.081043,95.888158,26.03841,1681,25,1656,0.927734,23.657588,13.415711,97.006226,22.979784,91.8429,13.57749,1962,27,1935,0.505066
test_91_3.png,338,0.515747,15,AEGIS-CD,AEGIS-CD,87.69018,78.078818,87.622192,89,1,0.0,9.704568,54.858006,True,107.875104,primary_best_F1;clear_margin_ge_2pct;has_change_gt,87.69018,78.078818,99.864197,87.622192,82.337662,93.786982,89,68,21,0.587463,0.0,0.0,99.478149,-0.012066,0.0,0.0,342,4,338,0.006104,70.260223,54.154728,99.755859,70.145745,94.5,55.91716,160,11,149,0.305176,58.19398,41.037736,99.427795,57.923506,46.690519,77.218935,375,298,77,0.852966,0.0,0.0,99.484253,0.0,0.0,0.0,338,0,338,0.0,4.057971,2.071006,99.494934,4.037887,100.0,2.071006,331,0,331,0.010681,55.882353,38.77551,99.679565,55.750025,96.376812,39.349112,210,5,205,0.210571,61.371841,44.270833,99.673462,61.215863,78.703704,50.295858,214,46,168,0.32959,0.0,0.0,99.484253,0.0,0.0,0.0,338,0,338,0.0,0.0,0.0,99.484253,0.0,0.0,0.0,338,0,338,0.0,57.068517,39.927184,99.24469,56.753199,40.368098,97.337278,495,486,9,1.243591,0.0,0.0,99.484253,0.0,0.0,0.0,338,0,338,0.0,77.985612,63.915094,99.766541,77.868348,75.910364,80.177515,153,86,67,0.544739,74.829932,59.782609,99.77417,74.71906,88.0,65.088757,148,30,118,0.38147,0.0,0.0,99.484253,0.0,0.0,0.0,338,0,338,0.0
test_77_2.png,233,0.35553,15,AEGIS-CD,AEGIS-CD,83.412322,71.544715,83.359328,70,1,0.0,8.611261,60.691792,True,101.402621,primary_best_F1;clear_margin_ge_2pct;has_change_gt;low_false_alarm_tendency,83.412322,71.544715,99.893188,83.359328,93.121693,75.536481,70,13,57,0.288391,0.0,0.0,99.64447,0.0,0.0,0.0,233,0,233,0.0,36.173001,22.08,99.256897,35.856182,26.037736,59.227468,487,392,95,0.808716,11.904762,6.329114,99.661255,11.857507,78.947368,6.437768,222,4,218,0.028992,0.0,0.0,99.64447,0.0,0.0,0.0,233,0,233,0.0,5.469169,2.811466,97.309875,4.877292,3.125,21.888412,1763,1581,182,2.490234,0.0,0.0,99.603271,-0.073895,0.0,0.0,260,27,233,0.041199,41.121495,25.882353,99.423218,40.853564,32.273839,56.652361,378,277,101,0.624084,69.498069,53.254438,99.758911,69.378271,63.157895,77.253219,158,105,53,0.434875,11.922905,6.339371,97.001648,11.358437,6.656657,57.081545,1965,1865,100,3.048706,13.23185,7.084639,95.477295,12.653125,7.10022,96.995708,2964,2957,7,4.856873,35.545385,21.6141,98.710632,35.166312,21.6141,100.0,845,845,0,1.644897,74.801061,59.745763,99.855042,74.732435,97.916667,60.515021,95,3,92,0.219727,18.419728,10.144124,97.52655,17.904431,10.433295,78.540773,1621,1571,50,2.676392,0.0,0.0,99.577332,-0.113076,0.0,0.0,277,44,233,0.067139
test_102_8.png,2852,4.351807,15,AEGIS-CD,AEGIS-CD,98.306897,96.670172,98.231198,95,1,0.0,0.71739,11.751068,True,100.709267,primary_best_F1;has_change_gt;low_false_alarm_tendency,98.306897,96.670172,99.855042,98.231198,99.963755,96.704067,95,1,94,4.2099,97.434057,94.996501,99.781799,97.320178,99.779493,95.196353,143,6,137,4.151917,96.666667,93.548387,99.719238,96.520284,100.0,93.548387,184,0,184,4.071045,27.665358,16.053277,96.34552,26.781929,99.782135,16.058906,2395,1,2394,0.700378,76.962899,62.552595,98.370361,76.164585,100.0,62.552595,1068,0,1068,2.722168,97.576737,95.268139,99.794006,97.469232,99.963222,95.301543,135,1,134,4.148865,97.262248,94.670407,99.768066,97.141246,100.0,94.670407,152,0,152,4.119873,48.002131,31.580792,97.021484,46.891484,99.889135,31.591865,1952,1,1951,1.376343,89.178162,80.469846,99.150085,88.741225,100.0,80.469846,557,0,557,3.501892,97.132552,94.424965,99.757385,97.005995,100.0,94.424965,159,0,159,4.109192,96.235679,92.744479,99.684143,96.071074,99.962221,92.776999,207,1,206,4.039001,96.836015,93.866106,99.732971,96.696761,99.962673,93.899018,175,1,174,4.08783,96.890817,93.969144,99.737549,96.753947,100.0,93.969144,172,0,172,4.089355,96.348774,92.954784,99.693298,96.188918,99.962307,92.987377,201,1,200,4.048157,97.589507,95.292489,99.79248,97.481094,98.673835,96.528752,136,37,99,4.257202
test_77_16.png,17083,26.066589,15,AEGIS-CD,AEGIS-CD,98.561151,97.163121,98.058903,488,1,0.0,0.344911,16.866872,True,99.250973,primary_best_F1;has_change_gt;low_false_alarm_tendency,98.561151,97.163121,99.255371,98.058903,99.293055,97.839958,488,119,369,25.68512,96.433027,93.111756,98.080444,95.121683,93.511136,99.543406,1258,1180,78,27.748108,95.079691,90.620864,97.512817,93.41766,98.155189,92.191067,1630,296,1334,24.482727,96.321192,92.903452,98.146057,95.083934,99.761666,93.110109,1215,38,1177,24.328613,54.517779,37.473843,83.586121,46.818327,98.157734,37.739273,10757,121,10636,10.021973,79.375904,65.804352,90.863037,73.740947,96.41871,67.453023,5988,428,5560,18.235779,97.971235,96.023151,98.94104,97.254768,97.851095,98.09167,694,368,326,26.130676,40.033705,25.026337,80.453491,33.041389,99.92989,25.030732,12810,3,12807,6.529236,70.662842,54.634602,88.140869,63.996498,99.479222,54.791313,7772,49,7723,14.356995,96.080181,92.45607,97.988892,94.728137,97.654314,94.555991,1318,388,930,25.239563,97.837982,95.767471,98.884583,97.086507,98.876136,96.821401,731,188,543,25.524902,64.028891,47.090071,86.169434,56.770972,99.408503,47.222385,9064,48,9016,12.382507,79.604897,66.119713,91.052246,74.131595,98.071814,66.990575,5864,225,5639,17.805481,98.21624,96.495001,99.079895,97.596392,99.276402,97.178482,603,121,482,25.515747,77.556338,63.340427,90.274048,71.671222,97.313776,64.467599,6374,304,6070,17.268372
test_111_8.png,1782,2.719116,15,AEGIS-CD,AEGIS-CD,90.662041,82.91909,90.409172,323,1,0.0,3.774301,21.659439,True,99.0966,primary_best_F1;clear_margin_ge_2pct;has_change_gt;low_false_alarm_tendency,90.662041,82.91909,99.507141,90.409172,93.500298,87.991021,323,109,214,2.558899,75.647367,60.832943,98.722839,74.99251,78.549849,72.95174,837,355,482,2.52533,72.22509,56.525253,98.358154,71.384746,66.873805,78.507295,1076,693,383,3.192139,69.957082,53.79538,98.718262,69.352644,96.449704,54.882155,840,36,804,1.547241,59.164733,42.009885,98.388672,58.462427,95.149254,42.929293,1056,39,1017,1.226807,53.125992,36.171132,97.746277,51.991688,61.139518,46.969697,1477,532,945,2.088928,82.906793,70.804101,99.1745,82.490715,94.866233,73.62514,541,71,470,2.110291,72.37435,56.708311,98.783875,71.787773,94.650952,58.585859,797,59,738,1.683044,76.960519,62.549451,98.699951,76.292527,74.269311,79.854097,852,493,359,2.923584,53.592233,36.604775,97.81189,52.49875,63.302752,46.464646,1434,480,954,1.99585,79.299848,65.699874,98.754883,78.664068,72.361111,87.710438,816,597,219,3.295898,61.741425,44.656489,98.451233,61.045934,94.029851,45.959596,1015,52,963,1.329041,61.422657,44.323737,98.435974,60.719172,93.257143,45.791246,1025,59,966,1.335144,86.88774,76.815492,99.342346,86.552911,94.883721,80.13468,431,77,354,2.296448,60.730594,43.606557,98.425293,60.030868,94.326241,44.781145,1032,48,984,1.290894
test_102_3.png,20826,31.777954,15,AEGIS-CD,AEGIS-CD,98.740275,97.511893,98.156285,523,1,0.0,0.076181,0.914524,True,98.892636,primary_best_F1;has_change_gt;low_false_alarm_tendency,98.740275,97.511893,99.201965,98.156285,99.062394,98.420244,523,194,329,31.57196,98.022104,96.120933,98.74115,97.098886,97.883649,98.160953,825,442,383,31.867981,98.504072,97.052241,99.055481,97.813984,99.158274,97.858446,619,173,446,31.361389,98.227531,96.516801,98.876953,97.405637,98.531259,97.92567,736,304,432,31.582642,95.12649,90.705927,97.042847,93.010804,99.862724,90.819168,1938,26,1912,28.900146,98.624395,97.286122,99.128723,97.986866,98.965334,98.285797,571,214,357,31.559753,98.664095,97.363411,99.154663,98.045822,99.099012,98.232978,554,186,368,31.500244,95.365506,91.141557,97.119141,93.277011,97.554239,93.272832,1888,487,1401,30.383301,98.391972,96.834841,98.985291,97.650808,99.103707,97.690387,665,184,481,31.324768,98.551704,97.144761,99.084473,97.882419,99.087467,98.021704,600,188,412,31.436157,97.498164,95.118456,98.440552,96.366037,99.450659,95.620859,1022,110,912,30.554199,97.686789,95.478178,98.553467,96.634917,99.310379,96.115433,948,139,809,30.755615,97.826193,95.744884,98.638916,96.835827,99.322051,96.374724,892,137,755,30.834961,98.649366,97.334729,99.145508,98.024455,99.103508,98.199366,560,185,375,31.488037,98.422138,96.893296,98.995972,97.685875,98.304273,98.540286,658,354,304,31.854248
