sample,GT_change_pixels,GT_change_ratio_percent,available_method_count,best_method_by_F1,primary_method,primary_F1_percent,primary_IoU_percent,primary_Kappa_percent,primary_Error_pixels,primary_rank_by_F1,primary_margin_to_best_F1,primary_margin_to_second_F1,primary_mean_F1_advantage,primary_wins_all_available,recommendation_score,selection_reason,AEGIS-CD_F1_percent,AEGIS-CD_IoU_percent,AEGIS-CD_OA_percent,AEGIS-CD_Kappa_percent,AEGIS-CD_Precision_percent,AEGIS-CD_Recall_percent,AEGIS-CD_Error_pixels,AEGIS-CD_FP,AEGIS-CD_FN,AEGIS-CD_Pred_change_ratio_percent,RS-Mamba_F1_percent,RS-Mamba_IoU_percent,RS-Mamba_OA_percent,RS-Mamba_Kappa_percent,RS-Mamba_Precision_percent,RS-Mamba_Recall_percent,RS-Mamba_Error_pixels,RS-Mamba_FP,RS-Mamba_FN,RS-Mamba_Pred_change_ratio_percent,CDMamba_F1_percent,CDMamba_IoU_percent,CDMamba_OA_percent,CDMamba_Kappa_percent,CDMamba_Precision_percent,CDMamba_Recall_percent,CDMamba_Error_pixels,CDMamba_FP,CDMamba_FN,CDMamba_Pred_change_ratio_percent,ChangeMamba-tiny_F1_percent,ChangeMamba-tiny_IoU_percent,ChangeMamba-tiny_OA_percent,ChangeMamba-tiny_Kappa_percent,ChangeMamba-tiny_Precision_percent,ChangeMamba-tiny_Recall_percent,ChangeMamba-tiny_Error_pixels,ChangeMamba-tiny_FP,ChangeMamba-tiny_FN,ChangeMamba-tiny_Pred_change_ratio_percent,DSIFN_F1_percent,DSIFN_IoU_percent,DSIFN_OA_percent,DSIFN_Kappa_percent,DSIFN_Precision_percent,DSIFN_Recall_percent,DSIFN_Error_pixels,DSIFN_FP,DSIFN_FN,DSIFN_Pred_change_ratio_percent,SNUNet_F1_percent,SNUNet_IoU_percent,SNUNet_OA_percent,SNUNet_Kappa_percent,SNUNet_Precision_percent,SNUNet_Recall_percent,SNUNet_Error_pixels,SNUNet_FP,SNUNet_FN,SNUNet_Pred_change_ratio_percent,Change3D_F1_percent,Change3D_IoU_percent,Change3D_OA_percent,Change3D_Kappa_percent,Change3D_Precision_percent,Change3D_Recall_percent,Change3D_Error_pixels,Change3D_FP,Change3D_FN,Change3D_Pred_change_ratio_percent,BIT_F1_percent,BIT_IoU_percent,BIT_OA_percent,BIT_Kappa_percent,BIT_Precision_percent,BIT_Recall_percent,BIT_Error_pixels,BIT_FP,BIT_FN,BIT_Pred_change_ratio_percent,ELGC-Net_F1_percent,ELGC-Net_IoU_percent,ELGC-Net_OA_percent,ELGC-Net_Kappa_percent,ELGC-Net_Precision_percent,ELGC-Net_Recall_percent,ELGC-Net_Error_pixels,ELGC-Net_FP,ELGC-Net_FN,ELGC-Net_Pred_change_ratio_percent,BiFA_F1_percent,BiFA_IoU_percent,BiFA_OA_percent,BiFA_Kappa_percent,BiFA_Precision_percent,BiFA_Recall_percent,BiFA_Error_pixels,BiFA_FP,BiFA_FN,BiFA_Pred_change_ratio_percent,MaskCD_F1_percent,MaskCD_IoU_percent,MaskCD_OA_percent,MaskCD_Kappa_percent,MaskCD_Precision_percent,MaskCD_Recall_percent,MaskCD_Error_pixels,MaskCD_FP,MaskCD_FN,MaskCD_Pred_change_ratio_percent,ChangeRD_F1_percent,ChangeRD_IoU_percent,ChangeRD_OA_percent,ChangeRD_Kappa_percent,ChangeRD_Precision_percent,ChangeRD_Recall_percent,ChangeRD_Error_pixels,ChangeRD_FP,ChangeRD_FN,ChangeRD_Pred_change_ratio_percent,CAIFNet_F1_percent,CAIFNet_IoU_percent,CAIFNet_OA_percent,CAIFNet_Kappa_percent,CAIFNet_Precision_percent,CAIFNet_Recall_percent,CAIFNet_Error_pixels,CAIFNet_FP,CAIFNet_FN,CAIFNet_Pred_change_ratio_percent,WDMF-Net_F1_percent,WDMF-Net_IoU_percent,WDMF-Net_OA_percent,WDMF-Net_Kappa_percent,WDMF-Net_Precision_percent,WDMF-Net_Recall_percent,WDMF-Net_Error_pixels,WDMF-Net_FP,WDMF-Net_FN,WDMF-Net_Pred_change_ratio_percent,MambaFedCD_F1_percent,MambaFedCD_IoU_percent,MambaFedCD_OA_percent,MambaFedCD_Kappa_percent,MambaFedCD_Precision_percent,MambaFedCD_Recall_percent,MambaFedCD_Error_pixels,MambaFedCD_FP,MambaFedCD_FN,MambaFedCD_Pred_change_ratio_percent
17852.png,1067,1.628113,15,AEGIS-CD,AEGIS-CD,88.948069,80.095923,88.755323,249,1,0.0,42.232741,70.098588,True,174.244956,primary_best_F1;clear_margin_ge_2pct;has_change_gt,88.948069,80.095923,99.620056,88.755323,84.485666,93.908154,249,184,65,1.809692,23.484098,13.304239,89.390564,21.220059,13.304239,100.0,6953,6953,0,12.237549,16.169117,8.795648,83.117676,13.582668,8.795648,100.0,11064,11064,0,18.510437,19.47969,10.790858,86.540222,17.041477,10.790858,100.0,8821,8821,0,15.087891,10.851767,5.737176,73.249817,8.019175,5.737176,100.0,17531,17531,0,28.378296,12.978167,6.939386,78.166199,10.245199,6.939386,100.0,14309,14309,0,23.461914,12.267893,6.534787,76.713562,9.501825,6.534787,100.0,15261,15261,0,24.914551,46.715328,30.47619,96.324158,45.355935,30.573248,98.969072,2409,2398,11,5.270386,14.637492,7.896684,81.010437,11.981162,7.896684,100.0,12445,12445,0,20.617676,14.032088,7.545435,80.050659,11.347909,7.545435,100.0,13074,13074,0,21.577454,27.797317,16.142209,91.542053,25.714611,16.142209,100.0,5543,5543,0,10.08606,14.781464,7.980553,81.227112,12.131738,7.980553,100.0,12303,12303,0,20.401001,12.549988,6.695112,77.310181,9.797088,6.695112,100.0,14870,14870,0,24.317932,24.388571,13.887804,89.904785,22.163096,13.887804,100.0,6616,6616,0,11.723328,13.759752,7.388173,79.59137,11.063004,7.388173,100.0,13375,13375,0,22.036743
16354.png,1140,1.739502,15,AEGIS-CD,AEGIS-CD,89.520261,81.028668,89.346422,225,1,0.0,38.592093,81.692078,True,167.541422,primary_best_F1;clear_margin_ge_2pct;has_change_gt;low_false_alarm_tendency,89.520261,81.028668,99.656677,89.346422,95.431976,84.298246,225,46,179,1.53656,0.0,0.0,90.353394,-2.935367,0.0,0.0,6322,5182,1140,7.907104,7.809331,4.063325,94.451904,5.471248,5.492154,13.508772,3636,2650,986,4.278564,11.725846,6.22807,98.368835,11.545424,100.0,6.22807,1069,0,1069,0.108337,5.931034,3.056148,95.837402,3.902026,4.886364,7.54386,2728,1674,1054,2.685547,8.73104,4.564797,92.471313,6.154644,5.532114,20.701754,4934,4030,904,6.509399,0.078647,0.039339,92.245483,-2.693253,0.050684,0.175439,5082,3944,1138,6.021118,7.635207,3.969129,97.341919,6.346434,9.651475,6.315789,1742,674,1068,1.138306,0.0,0.0,90.971375,-2.88989,0.0,0.0,5917,4777,1140,7.289124,50.928168,34.163508,98.144531,49.988709,47.15994,55.350877,1216,707,509,2.041626,15.899218,8.636149,91.137695,13.383252,9.521332,48.157895,5808,5217,591,8.798218,0.0,0.0,95.718384,-2.109147,0.0,0.0,2806,1666,1140,2.542114,0.0,0.0,94.921875,-2.340819,0.0,0.0,3328,2188,1140,3.338623,0.856073,0.429876,97.172546,-0.507797,1.097394,0.701754,1853,721,1132,1.112366,0.0,0.0,90.048218,-2.955755,0.0,0.0,6522,5382,1140,8.21228
18723.png,5596,8.538818,15,AEGIS-CD,AEGIS-CD,83.929509,72.309084,82.161529,2143,1,0.0,33.330476,49.431012,True,151.413521,primary_best_F1;clear_margin_ge_2pct;has_change_gt,83.929509,72.309084,96.730042,82.161529,72.309084,100.0,2143,2143,0,11.808777,39.802269,24.845713,74.171448,30.262941,24.845713,100.0,16927,16927,0,34.367371,29.979728,17.633032,61.524963,18.177845,17.747822,96.461758,25215,25017,198,46.409607,50.599033,33.867942,83.326721,43.375387,33.867942,100.0,10927,10927,0,25.212097,34.91744,21.151501,68.424988,24.259256,21.187832,99.195854,20693,20648,45,39.976501,34.200188,20.627399,69.075012,23.510888,20.896647,94.120801,20267,19938,329,38.459778,23.960079,13.610594,68.145752,11.994223,15.047122,58.774124,20876,18569,2307,33.352661,42.471103,26.960833,77.520752,33.611001,27.173696,97.176555,14732,14574,158,30.535889,39.741558,24.798418,84.915161,32.101217,30.157262,58.255897,9886,7550,2336,16.494751,17.435238,9.550166,58.856201,3.825199,10.520287,50.875625,26964,24215,2749,41.293335,28.218446,16.426936,56.558228,15.879564,16.426936,100.0,28470,28470,0,51.980591,39.316312,24.468141,78.167725,30.22904,25.775776,82.827019,14308,13347,961,27.438354,28.071233,16.327246,56.303406,15.698017,16.331064,99.857041,28637,28629,8,52.210999,49.173989,32.603123,82.348633,41.660598,32.603123,100.0,11568,11568,0,26.190186,25.092346,14.346054,64.414978,12.889955,15.295454,69.799857,23321,21631,1690,38.96637
17138.png,1813,2.766418,15,AEGIS-CD,AEGIS-CD,77.007399,62.611408,76.348989,839,1,0.0,34.182724,67.065128,True,146.261168,primary_best_F1;clear_margin_ge_2pct;has_change_gt,77.007399,62.611408,98.719788,76.348989,76.525054,77.495863,839,431,408,2.801514,13.685334,7.34528,86.430359,9.562057,8.303887,38.885825,8893,7785,1108,12.954712,30.95556,18.312084,88.952637,27.644405,18.713248,89.520132,7240,7050,190,13.233948,0.0,0.0,94.316101,-2.922952,0.0,0.0,3725,1912,1813,2.91748,0.0,0.0,87.393188,-4.513652,0.0,0.0,8262,6449,1813,9.840393,7.162652,3.714349,86.709595,2.825096,4.43916,18.532819,8710,7233,1477,11.549377,0.0,0.0,86.407471,-4.609915,0.0,0.0,8908,7095,1813,10.826111,3.672499,1.870599,93.196106,0.317342,3.018466,4.688362,4459,2731,1728,4.296875,0.0,0.0,97.224426,-0.018253,0.0,0.0,1819,6,1813,0.009155,0.0,0.0,87.565613,-4.495265,0.0,0.0,8149,6336,1813,9.667969,20.709446,11.550774,84.822083,16.769975,12.103988,71.6492,9947,9433,514,16.375732,0.664759,0.333488,83.583069,-4.1323,0.399202,1.985659,10759,8982,1777,13.760376,19.324469,10.695676,85.093689,15.341772,11.363636,64.533922,9769,9126,643,15.710449,42.824675,27.246437,94.625854,40.501607,30.342765,72.752344,3522,3028,494,6.632996,0.1924,0.096293,84.169006,-4.584881,0.116523,0.551572,10375,8572,1803,13.095093
19081.png,1990,3.036499,15,AEGIS-CD,AEGIS-CD,82.387707,70.050251,81.935794,596,1,0.0,28.372216,71.496169,True,140.033963,primary_best_F1;clear_margin_ge_2pct;has_change_gt;low_false_alarm_tendency,82.387707,70.050251,99.090576,81.935794,100.0,70.050251,596,0,596,2.127075,4.535909,2.320584,93.063354,1.037441,3.896104,5.427136,4546,2664,1882,4.229736,0.0,0.0,87.557983,-4.811773,0.0,0.0,8154,6164,1990,9.405518,54.015491,37.000838,96.557617,52.29346,45.438957,66.582915,2256,1591,665,4.449463,35.810163,21.810219,95.913696,33.704456,34.234647,37.537688,2678,1435,1243,3.329468,0.885705,0.444822,76.777649,-4.64581,0.508792,3.417085,15219,13297,1922,20.393372,0.868621,0.436205,94.42749,-1.979172,0.94451,0.80402,3652,1678,1974,2.584839,0.0,0.0,83.418274,-5.219842,0.0,0.0,10867,8877,1990,13.545227,0.0,0.0,94.810486,-2.584675,0.0,0.0,3401,1411,1990,2.153015,0.0,0.0,96.173096,-1.270244,0.0,0.0,2508,518,1990,0.790405,25.501378,14.614085,82.258606,21.333094,14.614085,100.0,11627,11627,0,20.777893,0.0,0.0,96.963501,0.0,0.0,0.0,1990,0,1990,0.0,0.0,0.0,96.963501,0.0,0.0,0.0,1990,0,1990,0.0,18.75,10.344828,95.635986,16.547108,21.568627,16.582915,2860,1200,1660,2.334595,12.114265,6.447677,70.753479,6.980661,6.665321,66.38191,19167,18498,669,30.241394
17129.png,3042,4.641724,15,AEGIS-CD,AEGIS-CD,92.254563,85.622711,91.877736,471,1,0.0,22.214143,42.017814,True,137.664936,primary_best_F1;clear_margin_ge_2pct;has_change_gt;low_false_alarm_tendency,92.254563,85.622711,99.281311,91.877736,92.300099,92.209073,471,234,237,4.637146,62.00508,44.932871,96.11969,59.978353,56.833744,68.211703,2543,1576,967,5.570984,63.047693,46.03624,95.637512,60.841743,51.948882,80.177515,2859,2256,603,7.164001,50.455252,33.739234,96.595764,48.916611,77.754962,37.343853,2231,325,1906,2.229309,70.04042,53.894003,97.172546,68.557094,68.915049,71.203156,1853,977,876,4.795837,38.950715,24.185587,94.140625,35.876815,37.715517,40.26956,3840,2023,1817,4.956055,62.061736,44.9924,95.030212,59.642737,48.060617,87.573964,3257,2879,378,8.457947,61.746847,44.662162,96.250916,59.781485,58.651287,65.187377,2457,1398,1059,5.158997,1.371088,0.690276,94.950867,0.509414,7.348243,0.756082,3309,290,3019,0.4776,53.430532,36.454067,95.028687,50.851815,47.268589,61.439842,3258,2085,1173,6.033325,56.727498,39.594128,93.595886,53.782628,41.324921,90.433925,4197,3906,291,10.157776,57.655558,40.504257,97.227478,56.47956,99.039231,40.664037,1817,12,1805,1.905823,59.816343,42.669983,94.725037,57.251046,46.268657,84.582512,3457,2988,469,8.485413,63.71274,46.74886,95.188904,61.382838,49.017177,90.992768,3153,2879,274,8.616638,2.292994,1.159794,95.318604,2.009077,36.734694,1.183432,3068,62,3006,0.149536
18935.png,5371,8.195496,15,AEGIS-CD,AEGIS-CD,75.151407,60.194036,72.82815,2790,1,0.0,28.201249,56.957932,True,132.39413,primary_best_F1;clear_margin_ge_2pct;has_change_gt,75.151407,60.194036,95.742798,72.82815,72.033464,78.55148,2790,1638,1152,8.937073,0.0,0.0,87.600708,-5.88411,0.0,0.0,8126,2755,5371,4.203796,23.633678,13.400335,89.744568,18.422477,30.3207,19.363247,6721,2390,4331,5.233765,41.586787,26.252095,93.955994,39.525674,100.0,26.252095,3961,0,3961,2.151489,38.920145,24.162019,78.630066,30.153353,25.412917,83.075777,14005,13096,909,26.791382,3.718077,1.894254,45.866394,-11.958015,2.176261,12.753677,35477,30791,4686,48.028564,46.950158,30.676385,81.858826,39.397415,30.874413,97.951964,11889,11779,110,26.000977,16.862605,9.207625,89.317322,11.615529,23.278689,13.21914,7001,2340,4661,4.653931,0.0,0.0,85.768127,-7.471593,0.0,0.0,9327,3956,5371,6.036377,0.0,0.0,91.436768,-0.708879,0.0,0.0,5612,241,5371,0.367737,41.221549,25.961677,84.317017,33.691313,29.748246,67.101098,10278,8511,1767,18.486023,0.0,0.0,72.364807,-13.032765,0.0,0.0,18111,12740,5371,19.439697,29.959514,17.619048,63.043213,18.703977,17.73426,96.443865,24220,24029,191,44.569397,9.098987,4.766338,92.195129,8.416039,100.0,4.766338,5115,0,5115,0.390625,2.757146,1.397843,47.259521,-12.960353,1.623968,9.123068,34564,29683,4881,46.040344
17392.png,26433,40.333557,15,AEGIS-CD,AEGIS-CD,88.922973,80.055234,82.728363,5272,1,0.0,18.78019,29.37889,True,126.483353,primary_best_F1;clear_margin_ge_2pct;has_change_gt;low_false_alarm_tendency,88.922973,80.055234,91.955566,82.728363,100.0,80.055234,5272,0,5272,32.289124,57.136697,39.993963,75.732422,44.188682,99.334645,40.101388,15904,71,15833,16.282654,69.526004,53.287249,81.027222,57.433759,98.712506,53.660197,12434,185,12249,21.925354,54.947045,37.880679,74.945068,42.119515,100.0,37.880679,16420,0,16420,15.278625,60.096675,42.955858,76.948547,47.255733,99.562402,43.037113,15107,50,15057,17.434692,69.330961,53.058445,81.065369,57.423254,99.985743,53.06246,12409,2,12407,21.405029,52.546663,35.63613,73.970032,39.66268,99.253888,35.73185,17059,71,16988,14.520264,60.270642,43.133843,77.062988,47.509438,99.99123,43.135475,15032,1,15031,17.399597,70.142784,54.015314,81.39801,58.273648,99.458258,54.174706,12191,78,12113,21.969604,57.103641,39.961579,75.679016,44.085963,98.927639,40.135437,15939,115,15824,16.363525,54.521503,37.477362,74.714661,41.583658,99.290284,37.578027,16571,71,16500,15.264893,53.259693,36.295204,74.302673,40.467122,99.968743,36.299323,16841,3,16838,14.645386,52.404986,35.505932,73.954773,39.591786,99.650053,35.550259,17069,33,17036,14.389038,54.44738,37.407351,74.743652,41.610445,99.888923,37.422918,16552,11,16541,15.110779,67.882502,51.380403,80.329895,55.67419,99.408932,51.53785,12891,81,12810,20.910645
18719.png,13130,20.03479,15,AEGIS-CD,AEGIS-CD,91.741196,84.742481,89.453782,2364,1,0.0,17.096512,33.797952,True,126.18248,primary_best_F1;clear_margin_ge_2pct;has_change_gt,91.741196,84.742481,96.392822,89.453782,84.742481,100.0,2364,2364,0,23.641968,49.783878,33.141501,59.58252,28.164695,33.141501,100.0,26488,26488,0,60.452271,57.51698,40.367603,70.890808,40.704738,40.642014,98.354912,19077,18861,216,48.484802,74.644684,59.546485,86.38916,66.141143,59.546485,100.0,8920,8920,0,33.64563,54.578373,37.531126,66.696167,35.916899,37.549396,99.870526,21826,21809,17,53.286743,55.183013,38.105346,71.078491,38.072806,40.014402,88.87281,18954,17493,1461,44.497681,56.317763,39.196051,73.872375,40.448494,42.341478,84.067022,17123,15031,2092,39.778137,64.58711,47.696427,78.242493,51.486996,47.919661,99.032749,14259,14132,127,41.404724,64.93,48.07137,78.594971,52.013635,48.328991,98.903275,14028,13884,144,41.000366,49.715182,33.080641,61.341858,28.544996,33.618769,95.384615,25335,24729,606,56.843567,49.562132,32.94525,59.222412,27.801598,32.94525,100.0,26724,26724,0,60.812378,67.645337,51.109145,88.195801,60.511471,75.018553,61.591775,7736,2693,5043,16.448975,49.346061,32.754578,58.868408,27.44735,32.754578,100.0,26956,26956,0,61.166382,69.168971,52.868935,82.139587,58.216902,52.868935,100.0,11705,11705,0,37.895203,48.225927,31.774812,64.976501,27.888986,34.259526,81.416603,22953,20513,2440,47.612
19188.png,2317,3.535461,15,AEGIS-CD,AEGIS-CD,87.684038,78.06908,87.271357,527,1,0.0,17.129877,64.865757,True,122.870566,primary_best_F1;clear_margin_ge_2pct;has_change_gt;low_false_alarm_tendency,87.684038,78.06908,99.195862,87.271357,95.616718,80.966767,527,86,441,2.993774,38.570465,23.893066,94.439697,35.804226,31.64592,49.374191,3644,2471,1173,5.516052,5.386675,2.767886,90.834045,0.938346,4.241071,7.380233,6007,3861,2146,6.152344,5.294118,2.719033,96.560669,5.116523,100.0,2.719033,2254,0,2254,0.09613,29.508849,17.308141,94.590759,26.714355,27.359882,32.024169,3545,1970,1575,4.138184,0.435781,0.218366,60.954285,-6.410073,0.23948,2.416918,25589,23328,2261,35.681152,0.0,0.0,94.410706,-2.667581,0.0,0.0,3663,1346,2317,2.053833,24.881195,14.20818,93.24646,21.513892,20.503497,31.635736,4426,2842,1584,5.455017,26.078593,14.99447,83.581543,21.405869,15.507803,81.916271,10760,10341,419,18.675232,40.249663,25.195354,94.595337,37.560256,33.03794,51.488994,3542,2418,1124,5.509949,42.466435,26.957071,94.703674,39.84657,34.472551,55.287009,3471,2435,1036,5.670166,0.0,0.0,92.285156,-3.983125,0.0,0.0,5056,2739,2317,4.179382,36.030003,21.973534,92.712402,32.750563,26.121577,58.049202,4776,3804,972,7.85675,70.554161,54.504773,97.673035,69.356775,63.836478,78.851964,1525,1035,490,4.367065,0.0,0.0,93.560791,-3.293639,0.0,0.0,4220,1903,2317,2.903748
